,Exp #,Batch,Mesh #,Velocity,Density,Exp Complete?
710,710,5,4,0.25,2,True
711,711,5,4,0.35,2,True
712,712,5,4,0.05,3,True
713,713,5,4,0.15,3,True
714,714,5,4,0.25,3,True
715,715,5,4,0.35,3,True
716,716,5,4,0.05,4,True
717,717,5,4,0.15,4,True
718,718,5,4,0.25,4,True
719,719,5,4,0.35,4,True
720,720,5,5,0.05,1,True
721,721,5,5,0.15,1,True
722,722,5,5,0.25,1,True
723,723,5,5,0.35,1,True
724,724,5,5,0.05,2,True
725,725,5,5,0.15,2,True
726,726,5,5,0.25,2,True
727,727,5,5,0.35,2,True
728,728,5,5,0.05,3,True
729,729,5,5,0.15,3,True
730,730,5,5,0.25,3,True
731,731,5,5,0.35,3,True
732,732,5,5,0.05,4,True
733,733,5,5,0.15,4,True
734,734,5,5,0.25,4,True
735,735,5,5,0.35,4,True
736,736,5,6,0.05,1,True
737,737,5,6,0.15,1,True
738,738,5,6,0.25,1,True
739,739,5,6,0.35,1,True
740,740,5,6,0.05,2,True
741,741,5,6,0.15,2,True
742,742,5,6,0.25,2,True
743,743,5,6,0.35,2,True
744,744,5,6,0.05,3,True
745,745,5,6,0.15,3,True
746,746,5,6,0.25,3,True
747,747,5,6,0.35,3,True
748,748,5,6,0.05,4,True
749,749,5,6,0.15,4,True
750,750,5,6,0.25,4,True
751,751,5,6,0.35,4,True
752,752,5,7,0.05,1,True
753,753,5,7,0.15,1,True
754,754,5,7,0.25,1,True
755,755,5,7,0.35,1,True
756,756,5,7,0.05,2,True
757,757,5,7,0.15,2,True
758,758,5,7,0.25,2,True
759,759,5,7,0.35,2,True
760,760,5,7,0.05,3,True
761,761,5,7,0.15,3,True
762,762,5,7,0.25,3,True
763,763,5,7,0.35,3,True
764,764,5,7,0.05,4,True
765,765,5,7,0.15,4,True
766,766,5,7,0.25,4,True
767,767,5,7,0.35,4,True
768,768,5,8,0.05,1,True
769,769,5,8,0.15,1,True
770,770,5,8,0.25,1,True
771,771,5,8,0.35,1,True
772,772,5,8,0.05,2,True
773,773,5,8,0.15,2,True
774,774,5,8,0.25,2,True
775,775,5,8,0.35,2,True
776,776,5,8,0.05,3,True
777,777,5,8,0.15,3,True
778,778,5,8,0.25,3,True
779,779,5,8,0.35,3,True
780,780,5,8,0.05,4,True
781,781,5,8,0.15,4,True
782,782,5,8,0.25,4,True
783,783,5,8,0.35,4,True
784,784,5,9,0.05,1,True
785,785,5,9,0.15,1,True
786,786,5,9,0.25,1,True
787,787,5,9,0.35,1,True
788,788,5,9,0.05,2,True
789,789,5,9,0.15,2,True
790,790,5,9,0.25,2,True
791,791,5,9,0.35,2,True
792,792,5,9,0.05,3,True
793,793,5,9,0.15,3,True
794,794,5,9,0.25,3,True
795,795,5,9,0.35,3,True
796,796,5,9,0.05,4,True
797,797,5,9,0.15,4,True
798,798,5,9,0.25,4,True
799,799,5,9,0.35,4,True
800,800,6,0,0.05,1,True
801,801,6,0,0.15,1,True
802,802,6,0,0.25,1,True
803,803,6,0,0.35,1,True
804,804,6,0,0.05,2,True
805,805,6,0,0.15,2,True
806,806,6,0,0.25,2,True
807,807,6,0,0.35,2,True
808,808,6,0,0.05,3,True
809,809,6,0,0.15,3,True
810,810,6,0,0.25,3,True
811,811,6,0,0.35,3,True
812,812,6,0,0.05,4,True
813,813,6,0,0.15,4,True
814,814,6,0,0.25,4,True
815,815,6,0,0.35,4,True
816,816,6,1,0.05,1,True
817,817,6,1,0.15,1,True
818,818,6,1,0.25,1,True
819,819,6,1,0.35,1,True
820,820,6,1,0.05,2,True
821,821,6,1,0.15,2,True
822,822,6,1,0.25,2,True
823,823,6,1,0.35,2,True
824,824,6,1,0.05,3,True
825,825,6,1,0.15,3,True
826,826,6,1,0.25,3,True
827,827,6,1,0.35,3,True
828,828,6,1,0.05,4,True
829,829,6,1,0.15,4,True
830,830,6,1,0.25,4,True
831,831,6,1,0.35,4,True
832,832,6,2,0.05,1,True
833,833,6,2,0.15,1,True
834,834,6,2,0.25,1,True
835,835,6,2,0.35,1,True
836,836,6,2,0.05,2,True
837,837,6,2,0.15,2,True
838,838,6,2,0.25,2,True
839,839,6,2,0.35,2,True
840,840,6,2,0.05,3,True
841,841,6,2,0.15,3,True
842,842,6,2,0.25,3,False
843,843,6,2,0.35,3,False
844,844,6,2,0.05,4,False
845,845,6,2,0.15,4,False
846,846,6,2,0.25,4,False
847,847,6,2,0.35,4,False
848,848,6,3,0.05,1,True
849,849,6,3,0.15,1,True
850,850,6,3,0.25,1,True
851,851,6,3,0.35,1,True
852,852,6,3,0.05,2,True
853,853,6,3,0.15,2,True
854,854,6,3,0.25,2,True
855,855,6,3,0.35,2,True
856,856,6,3,0.05,3,True
857,857,6,3,0.15,3,True
858,858,6,3,0.25,3,True
859,859,6,3,0.35,3,True
860,860,6,3,0.05,4,True
861,861,6,3,0.15,4,True
